Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
5.1115e-09,1.931e-12,3.1234e-10,9.1837e-10,6.6624e-09,3.173e-08,1.1118e-07,3.6758e-07,9.0034e-07
7.1734e-09,1.6981e-12,3.0495e-10,7.9913e-10,5.8697e-09,2.7304e-08,9.2751e-08,3.1262e-07,7.4242e-07
9.3241e-09,1.4305e-12,2.8822e-10,6.6498e-10,4.9556e-09,2.2422e-08,7.3368e-08,2.5315e-07,5.7886e-07
1.1428e-08,1.1452e-12,2.632e-10,5.2437e-10,3.9775e-09,1.7392e-08,5.4247e-08,1.9292e-07,4.1992e-07
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
5.1115e-09,1.931e-12,3.1234e-10,9.1837e-10,6.6624e-09,3.173e-08,1.1118e-07,3.6758e-07,9.0034e-07
7.1734e-09,1.6981e-12,3.0495e-10,7.9913e-10,5.8697e-09,2.7304e-08,9.2751e-08,3.1262e-07,7.4242e-07
9.3241e-09,1.4305e-12,2.8822e-10,6.6498e-10,4.9556e-09,2.2422e-08,7.3368e-08,2.5315e-07,5.7886e-07
1.1428e-08,1.1452e-12,2.632e-10,5.2437e-10,3.9775e-09,1.7392e-08,5.4247e-08,1.9292e-07,4.1992e-07
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
5.1115e-09,1.931e-12,3.1234e-10,9.1837e-10,6.6624e-09,3.173e-08,1.1118e-07,3.6758e-07,9.0034e-07
7.1734e-09,1.6981e-12,3.0495e-10,7.9913e-10,5.8697e-09,2.7304e-08,9.2751e-08,3.1262e-07,7.4242e-07
9.3241e-09,1.4305e-12,2.8822e-10,6.6498e-10,4.9556e-09,2.2422e-08,7.3368e-08,2.5315e-07,5.7886e-07
1.1428e-08,1.1452e-12,2.632e-10,5.2437e-10,3.9775e-09,1.7392e-08,5.4247e-08,1.9292e-07,4.1992e-07
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
5.1115e-09,1.931e-12,3.1234e-10,9.1837e-10,6.6624e-09,3.173e-08,1.1118e-07,3.6758e-07,9.0034e-07
7.1734e-09,1.6981e-12,3.0495e-10,7.9913e-10,5.8697e-09,2.7304e-08,9.2751e-08,3.1262e-07,7.4242e-07
9.3241e-09,1.4305e-12,2.8822e-10,6.6498e-10,4.9556e-09,2.2422e-08,7.3368e-08,2.5315e-07,5.7886e-07
1.1428e-08,1.1452e-12,2.632e-10,5.2437e-10,3.9775e-09,1.7392e-08,5.4247e-08,1.9292e-07,4.1992e-07
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
5.1115e-09,1.931e-12,3.1234e-10,9.1837e-10,6.6624e-09,3.173e-08,1.1118e-07,3.6758e-07,9.0034e-07
7.1734e-09,1.6981e-12,3.0495e-10,7.9913e-10,5.8697e-09,2.7304e-08,9.2751e-08,3.1262e-07,7.4242e-07
9.3241e-09,1.4305e-12,2.8822e-10,6.6498e-10,4.9556e-09,2.2422e-08,7.3368e-08,2.5315e-07,5.7886e-07
1.1428e-08,1.1452e-12,2.632e-10,5.2437e-10,3.9775e-09,1.7392e-08,5.4247e-08,1.9292e-07,4.1992e-07
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
5.1115e-09,1.931e-12,3.1234e-10,9.1837e-10,6.6624e-09,3.173e-08,1.1118e-07,3.6758e-07,9.0034e-07
7.1734e-09,1.6981e-12,3.0495e-10,7.9913e-10,5.8697e-09,2.7304e-08,9.2751e-08,3.1262e-07,7.4242e-07
9.3241e-09,1.4305e-12,2.8822e-10,6.6498e-10,4.9556e-09,2.2422e-08,7.3368e-08,2.5315e-07,5.7886e-07
1.1428e-08,1.1452e-12,2.632e-10,5.2437e-10,3.9775e-09,1.7392e-08,5.4247e-08,1.9292e-07,4.1992e-07
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
5.1115e-09,1.931e-12,3.1234e-10,9.1837e-10,6.6624e-09,3.173e-08,1.1118e-07,3.6758e-07,9.0034e-07
7.1734e-09,1.6981e-12,3.0495e-10,7.9913e-10,5.8697e-09,2.7304e-08,9.2751e-08,3.1262e-07,7.4242e-07
9.3241e-09,1.4305e-12,2.8822e-10,6.6498e-10,4.9556e-09,2.2422e-08,7.3368e-08,2.5315e-07,5.7886e-07
1.1428e-08,1.1452e-12,2.632e-10,5.2437e-10,3.9775e-09,1.7392e-08,5.4247e-08,1.9292e-07,4.1992e-07
1.3354e-08,8.5995e-13,2.3147e-10,3.8611e-10,2.997e-09,1.2531e-08,3.6589e-08,1.3571e-07,2.7561e-07
1.498e-08,5.9276e-13,1.9502e-10,2.589e-10,2.0756e-09,8.1424e-09,2.1502e-08,8.5106e-08,1.5498e-07
1.6205e-08,3.6042e-13,1.5613e-10,1.5073e-10,1.2712e-09,4.5034e-09,9.9357e-09,4.43e-08,6.5616e-08
1.6951e-08,1.7751e-13,1.1726e-10,6.8406e-11,6.3436e-10,1.8422e-09,2.6161e-09,1.5852e-08,1.3133e-08
1.7171e-08,5.5526e-14,8.0847e-11,1.7087e-11,2.0513e-10,3.2608e-10,3.2823e-12,1.5481e-09,8.276e-10
1.6852e-08,2.1387e-15,4.9173e-11,4.7017e-15,1.0447e-11,5.0273e-11,2.2613e-09,2.288e-09,2.9474e-08
1.6013e-08,2.07e-14,2.4232e-11,1.8231e-11,6.2551e-11,1.0321e-09,9.2484e-09,1.8025e-08,9.7272e-08
1.4708e-08,1.1004e-13,7.5915e-12,7.062e-11,3.5817e-10,3.2099e-09,2.0525e-08,4.7771e-08,1.9996e-07
1.3019e-08,2.6456e-13,2.9644e-13,1.5388e-10,8.7872e-10,6.4468e-09,3.5384e-08,8.9656e-08,3.3109e-07
1.105e-08,4.7453e-13,2.8054e-12,2.6278e-10,1.5915e-09,1.054e-08,5.289e-08,1.4105e-07,4.8242e-07
8.9273e-09,7.2677e-13,1.4961e-11,3.9048e-10,2.4517e-09,1.5231e-08,7.1944e-08,1.9872e-07,6.4444e-07
6.7829e-09,1.0054e-12,3.5999e-11,5.2895e-10,3.4053e-09,2.0226e-08,9.1349e-08,2.5904e-07,8.0697e-07
4.7518e-09,1.293e-12,6.4598e-11,6.695e-10,4.3924e-09,2.5211e-08,1.0989e-07,3.1823e-07,9.5979e-07
2.9616e-09,1.5714e-12,9.896e-11,8.0329e-10,5.3509e-09,2.9872e-08,1.2639e-07,3.7257e-07,1.0933e-06
1.5249e-09,1.8231e-12,1.3693e-10,9.2191e-10,6.2207e-09,3.3918e-08,1.3982e-07,4.1864e-07,1.1991e-06
5.3196e-10,2.0324e-12,1.7611e-10,1.0179e-09,6.947e-09,3.7093e-08,1.4934e-07,4.5354e-07,1.2706e-06
4.508e-11,2.1861e-12,2.1406e-10,1.0853e-09,7.4843e-09,3.9198e-08,1.5434e-07,4.7508e-07,1.3033e-06
9.4902e-11,2.2745e-12,2.4837e-10,1.1197e-09,7.7987e-09,4.0101e-08,1.5452e-07,4.8192e-07,1.2951e-06
6.7829e-10,2.292e-12,2.769e-10,1.1192e-09,7.8706e-09,3.9746e-08,1.4986e-07,4.7362e-07,1.2464e-06
1.7586e-09,2.2376e-12,2.9786e-10,1.0836e-09,7.6953e-09,3.8153e-08,1.4066e-07,4.5069e-07,1.1605e-06
3.2679e-09,2.1147e-12,3.0992e-10,1.0152e-09,7.284e-09,3.5424e-08,1.2749e-07,4.1459e-07,1.0427e-06
